indice;V_ivan;V_mikel;V_pablo;V_media;S
8;0.644024799;0.631590436;0.648050523;0.64122192;0.00858054
9;0.47357519;0.476885134;0.501195061;0.48388513;0.01508192
10;0.32367329;0.325726563;0.318362078;0.32258731;0.00380045
11;0.198101774;0.233229667;0.204605075;0.21197884;0.01868881
4;0.092888866;0.098399863;0.098399863;0.09656286;0.00318178
6;0.430377436;0.443992996;0.443992996;0.43945448;0.00786095
7;0.15335663;0.139471143;0.139471143;0.14409964;0.00801679
13;0.312154192;0.306296599;0.306296599;0.30824913;0.00338188
1;0.074103732;0.104685063;0.104601594;0.09446346;0.01763209
2;0.039989224;0.01679632;0.044131266;0.03363894;0.01473243
3;0.279079206;0.275433055;0.279141677;0.27788465;0.00212337
4;0.094489707;0.100761297;0.111195828;0.10214894;0.00843906
12;0.342422679;0.342423884;0.342903527;0.34258336;0.00027727
14;0.016177974;0.01621573;0.012931211;0.01510831;0.00188551
15;0.273276809;0.28002887;0.25329983;0.26886850;0.01389911
16;0.16405377;0.130841433;0.125078819;0.13999134;0.02103693
17;0.181635103;0.17081944;0.264372834;0.20560913;0.05117738
18;0.058880679;0.058621853;0.063754518;0.06041902;0.00289153
19;0.354141128;0.372365616;0.38988694;0.37213123;0.01787406
20;0.07728301;0.072621416;0.068523871;0.07280943;0.00438260
21;0.142504099;0.136632803;0.135999772;0.13837889;0.00358653
22;0.224471377;0.226371645;0.228928999;0.22659067;0.00223687
23;0.140633728;0.137159411;0.141112039;0.13963506;0.00215727
